ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Updated On,Year,Latitude,Longitude,Location
8716303,HV392639,2012/07/20,010XX N LARAMIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,1531,37,07,1141542,1906488,07/22/2012,2012,41.89947434,-87.75556507,"(41.89947433556218, -87.75556507471337)"
8715233,HV391635,2012/07/20,030XX S HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1032,22,14,1154227,1884003,07/22/2012,2012,41.83752918,-87.70957294,"(41.837529184273876, -87.70957294222553)"
8715378,HV391394,2012/07/20,030XX W LEXINGTON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1134,28,05,1156067,1896502,07/25/2012,2012,41.87179097,-87.70248417,"(41.87179096801878, -87.70248416929228)"
8714826,HV391401,2012/07/20,079XX S DREXEL AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0624,8,06,1183651,1852475,07/27/2012,2012,41.75037663,-87.60258766,"(41.750376634248745, -87.60258766182127)"
8715076,HV391521,2012/07/20,033XX S WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0915,11,14,1175128,1882685,07/22/2012,2012,41.83347037,-87.63291772,"(41.83347037439109, -87.63291772123416)"
8715122,HV391526,2012/07/20,033XX S WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0915,11,14,1175128,1882668,07/22/2012,2012,41.83342372,-87.63291823,"(41.833423724984684, -87.6329182298348)"
8714835,HV391385,2012/07/20,005XX W ERIE ST,0460,BATTERY,SIMPLE,STREET,false,false,1831,42,08B,1172401,1904640,07/22/2012,2012,41.8937771,-87.64227513,"(41.8937770966534, -87.64227513119947)"
8715025,HV391429,2012/07/20,033XX S WELLS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0915,11,06,1175120,1882987,07/22/2012,2012,41.83429927,-87.63293804,"(41.834299266310495, -87.63293803968642)"
8715030,HV391430,2012/07/20,033XX S WELLS ST,0810,THEFT,OVER $500,STREET,false,false,0915,11,06,1175209,1882653,07/22/2012,2012,41.83338075,-87.63262148,"(41.83338075101452, -87.63262147569812)"
8714857,HV391384,2012/07/20,034XX N JANSSEN AVE,2022,NARCOTICS,POSS: COCAINE,ALLEY,true,false,1922,44,18,1165990,1922885,07/22/2012,2012,41.94398176,-87.6652985,"(41.94398175853666, -87.66529849522232)"
